16	बारे	बारे	PSP:बारे	14	lwg__psp
17	में	में	PSP:में	14	lwg__psp
18	जानकारी	जानकारी	NN	19	pof
19	दी	दे	VM	12	ccof
20	.	.	.	19	rsym

1	14	14	QC	56	k1
2	Oct	Oct	XC	6	mod
3	Radio	Radio	XC	6	mod
4	mantra	mantra	XC	6	mod
5	Bhavishyavani	Bhavishyavani	XC	6	mod
6	v23576न्यूज़	v23576न्यूज़	NNP	56	k1
7	60	60	QC	11	mod
8	सेकेंड	सेकेंड	XC	11	mod
9	’	’	XC	11	mod
10	मेंJEE	मेंJEE	XC	11	mod
11	Mains	Mains	NNP	56	k7p
12	में	में	PSP:में	11	lwg__psp
13	पूरे	पूरा	JJ	14	nmod__adj
14	नंबर	नंबर	NN	16	k2
15	हासिल	हासिल	VM	16	pof
16	कर	कर	VAUX	56	vmod
17	कल्पित	कल्पित	JJ	56	k1
18	ने	ने	PSP:ने	17	lwg__psp
19	रचा	रचा	VM	22	mod
20	इतिहास	इतिहास	NN	22	mod
21	JEE	JEE	JJ	22	nmod__adj
22	Mains	Mains	NN	56	k7
23	में	में	PSP:में	22	lwg__psp
24	पूरे	पूरा	JJ	25	nmod__adj
25	नंबर	नंबर	NN	27	k2
26	हासिल	हासिल	VM	27	pof
27	कर	कर	VAUX	56	vmod
28	कल्पित	कल्पित	JJ	56	k1
29	ने	ने	PSP:ने	28	lwg__psp
30	रचा	रचा	VM	51	vmod
31	इतिहास	इतिहास	NN	51	adv
32	‘	‘	JJ	33	nmod__adj
33	फौजी	फौजी	NN	51	k1
34	हेयरकट	हेयरकट	NNP	36	k2p
35	नहीं	नहीं	NEG	36	lwg__neg
36	समझे	समझ	VM	51	vmod
37	छात्र	छात्र	NN	51	k7p
38	तो	तो	RP	37	lwg__rp
39	लिया	ले	VM	51	vmod
40	योगी	योगी	NN	42	r6
41	का	का	PSP:का	40	lwg__psp
42	नाम	नाम	NN	51	k2
43	’	’	JJ	44	nmod__adj
44	ALERT!	ALERT!	NN	51	k2
45	15	15	QC	46	nmod__adj
46	प्रतिशत	प्रतिशत	NN	48	nmod
47	पैन	पैन	NN	48	mod
48	डुप्लिकेट	डुप्लिकेट	NN	49	ccof
49	या	या	CC:या	51	k2
50	गलत	गलत	JJ	51	k2s
51	पाए	पा	VM	56	vmod
52	गए	गए	VAUX	51	lwg__vaux
53	फिर	फिर	RB	56	adv
54	ये	यह	DEM	55	nmod__adj
55	तर्क	तर्क	NN	56	k1
56	दिया	दे	VM	0	main
57	गया	गया	VAUX	56	lwg__vaux
58	कि	कि	CC:कि	56	k2
59	बड़ी	बड़ी	XC	60	mod
60	संख्या	संख्या	NN	65	k7
61	में	में	PSP:में	60	lwg__psp
62	डुप्लिकेट	डुप्लिकेट	NN	65	k1
63	पैन	पैन	JJ	64	nmod__adj
64	नंबर	नंबर	NN	65	k1s
65	हैं	है	VM	58	ccof
66	जो	जो	PRP	70	k1
67	आधार	आधार	NN	70	adv
68	से	से	PSP:से	67	lwg__psp
69	पकड़े	पकड़े	NNP	70	k2p
70	जाएंगे	जा	VAUX	72	ccof
71	,	,	,	70	rsym
72	लेकिन	लेकिन	CC:लेकिन	0	ROOT
73	मार्च	मार्च	NNP	94	k7t
74	2016	2016	QC	94	k7p
75	में	में	PSP:में	74	lwg__psp
76	लोक	लोक	XC	77	mod
77	सभा	सभा	NN	94	k7p
78	में	में	PSP:में	77	lwg__psp
79	पेश	पेश	JJ	80	nmod__adj
80	आंकड़ों	आंकड़ों	NN	94	k7
81	के	का	PSP:का	80	lwg__psp
82	अनुसार	अनुसार	PSP:?	80	lwg__psp
83	,	,	,	80	rsym
84	डुप्लिकेट	डुप्लिकेट	NN	85	pof
85	होने	हो	VM	87	r6
86	की	का	PSP:का	85	lwg__psp
87	वजह	वजह	NN	94	rh
88	से	से	PSP:से	87	lwg__psp
89	केवल	केवल	RB	91	lwg__rp
90	0.4	0.4	QC	91	nmod__adj
91	प्रतिशत	प्रतिशत	NN	93	nmod
92	पैन	पैन	JJ	93	mod
93	कार्ड	कार्ड	NN	94	k2
94	काटे	काट	VM	72	ccof
95	गए	गए	VAUX	94	lwg__vaux
96	हैं	है	VAUX	94	lwg__vaux
97	.	.	.	94	rsym

1	16	16	QC	0	ROOT
2	फरवरी	फरवरी	NNP	0	ROOT
3	:	:	:	0	ROOT
4	सुखदेवगनगर	सुखदेवगनगर	NNP	8	r6
5	के	का	PSP:का	4	lwg__psp
6	देवी	देवी	XC	8	pof__cn
7	मंडप	मंडप	NN	8	mod
8	रोड	रोड	NNP	0	ROOT
9	में	में	PSP:में	8	lwg__psp
10	छात्र	छात्र	NN	13	nmod__adj
11	(	(	(	13	rsym
12	21	21	QC	13	nmod__adj
13	वर्ष	वर्ष	NN	0	ROOT
14	)	)	)	13	rsym
15	मनोज	मनोज	NN	0	ROOT
16	ने	ने	PSP:ने	15	lwg__psp
17	आत्महत्या	आत्महत्या	NN	18	pof
18	कर	कर	VM	0	ROOT
19	ली.	ली.	NN	26	mod
20	06	06	QC	26	mod
21	फरवरी	फरवरी	NNP	26	mod
22	:	:	:	26	mod
23	लाल	लाल	JJ	26	mod
24	लाजपत	लाजपत	XC	26	mod
25	राय	राय	NNP	26	mod
26	स्कूल	स्कूल	NN	31	r6
27	के	का	PSP:का	26	lwg__psp
28	16	16	QC	31	nmod__adj
29	वर्षीय	वर्षीय	JJ	31	nmod__adj
30	एक	एक	QC	31	nmod__adj
31	छात्र	छात्र	NN	0	ROOT
32	ने	ने	PSP:ने	31	lwg__psp
33	स्कूल	स्कूल	NN	0	ROOT
34	में	में	PSP:में	33	lwg__psp
35	ही	ही	RP	33	lwg__rp
36	शरीर	शरीर	NN	57	k7
37	पर	पर	PSP:पर	36	lwg__psp
38	तेल	तेल	NN	40	k2
39	छिड़क	छिड़क	NN	40	pof
40	कर	कर	VM	57	vmod
41	आग	आग	NN	42	pof
42	लगाकर	लगा	VM	57	vmod
43	आत्महत्या	आत्महत्या	NN	45	r6
44	की	का	PSP:का	43	lwg__psp
45	कोशिश	कोशिश	NN	57	k1
46	की.	की.	NN	48	mod
47	17	17	QC	48	nmod__adj
48	लिफ्ट	लिफ्ट	NN	50	r6
49	की	का	PSP:का	48	lwg__psp
50	जगह	जगह	NN	57	k2
51	सीढियों	सीढी	NN	53	r6-k2
52	का	का	PSP:का	51	lwg__psp
53	इस्तेमाल	इस्तेमाल	NN	54	pof
54	करें	कर	VM	57	vmod
55	एक्सरसाइज	एक्सरसाइज	NN	57	k2
56	जरूर	जरूर	RB	57	adv
57	कीजिए	कीजिए	VM	0	ROOT
58	.	.	.	57	rsym

1	18	18	QC	4	nmod__adj
2	से	से	PSP:से	4	lwg__rp
3	7	7	QC	4	nmod__adj
4	फीसदी	फीसदी	NN	6	nmod
5	ब्याज	ब्याज	NN	6	k2
6	देगी	दे	VM	13	vmod
7	सरकार	सरकार	NN	13	k1
8	बैंक	बैंक	NN	13	k1
9	द्वारा	द्वारा	PSP:द्वारा	8	lwg__psp
10	लोन	लोन	NN	13	rt
11	के	का	PSP:का	10	lwg__psp
12	लिए	ले	PSP:ले	10	lwg__psp
13	लिए	ले	VM	19	nmod__k2inv
14	जा	जा	VAUX	13	lwg__vaux
15	रहे	रह	VAUX	13	lwg__vaux
16	11	11	QC	17	nmod__adj
17	फीसदी	फीसदी	NN	19	nmod
18	ब्याज	ब्याज	XC	19	pof__cn
19	दर	दर	NN	22	k2
20	को	को	PSP:को	19	lwg__psp
21	कम	कम	QF	22	pof
22	करने	कर	VM	41	rt
23	के	का	PSP:का	22	lwg__psp
24	लिए	ले	PSP:ले	22	lwg__psp
25	ग्रामीण	ग्रामीण	JJ	27	nmod__adj
26	विकास	विकास	NN	27	mod
27	मंत्रालय	मंत्रालय	NN	41	k1
28	4	4	QC	29	nmod__adj
29	फीसदी	फीसदी	NN	32	nmod
30	ब्याज	ब्याज	XC	32	pof__cn
31	इंटरेस्ट	इंटरेस्ट	NN	32	mod
32	सबवर्जन	सबवर्जन	NN	36	k3
33	के	का	PSP:का	32	lwg__psp
34	जरिए	जरिये	PSP:जरिये	32	lwg__psp
35	कम	कम	QF	36	pof
36	कर	कर	VM	41	vmod
37	7	7	QC	38	nmod__adj
38	फीसदी	फीसदी	NN	41	k7
39	पर	पर	PSP:पर	38	lwg__psp
40	उपलब्ध	उपलब्ध	JJ	41	pof
41	कराएगा	करा	VM	0	main
42	.	.	.	41	rsym

1	19	19	QC	3	mod
2	PM-	PM-	NN	3	mod
3	मोदी	मोदी	NN	16	k1
4	ने	ने	PSP:ने	3	lwg__psp
5	टर्नबुल	टर्नबुल	NN	16	k4
6	को	को	PSP:को	5	lwg__psp
7	अक्षरधाम	अक्षरधाम	XC	8	mod
8	मंदिर	मंदिर	NNP	9	ccof
9	और	और	CC:और	16	ras-k1
